Polarity,tweet
positive," Thanks, I need all the help i can get."""
positive,wide awake   NOT!!!
positive,you are so sweet
neutral, where is my picture 
negative,now I'm getting sad.
negative, i never win anything.
negative,Its been awful weather here 
positive,goooood timessss
negative,I'm going to miss Harry Potter when it comes out.
negative,I'm going to cry!!
positive,hot choco is the best!
negative,i want him soo bad !!
negative,the train crash
positive,progressing in the production department 
positive,enjoy chicago..a new venue is always cool
negative,why everything is so hard?
negative, Why am I feeling worse???
positive,WHAT AN AMAZING NIGHT
positive,You shine everywhere you go
positive, good bye
positive,I am happy you are staying around here
neutral,The servers are now backup
negative, Why is your YouTube account suspended?
neutral,I hope u have cheeSe burgerS
positive,pick up some flowers for the teacher
positive,HAPPY MOTHERS DAY!
negative, my heart hurts badly...
positive,They are quite active on twitter.
neutral,  my head feels like a bowling ball
negative, everyone went home. and not everyone was even here!
positive, such a beautiful satisfying day 
positive,thank god today is friday
negative,storms are scary!
neutral,no apple iphone card for us  maybe tomorrow!
negative,Not feeling good
positive,you are right..
neutral, what the hell
positive, who else is in a happy mood?
negative,i miss my summertime daley.
neutral, my life is very lazy
positive,TODAY WAS A GREAT DAY!!!
negative, fail maths  i knew it i was just too slow 
neutral, going in town toda? with m? cousin
negative,I just lost a member of my family 
neutral, hoping to see my baby girl
negative,I'm SICK of bedtime battles 
negative, no shopping   
negative, I HAVE NO FRIENDS ON TWITTER IT MAKES ME SAD WILL SOMEONE FOLLOW ME   
negative,       i really-really don't like this condition. 
neutral,no one realizes how deep this goes.
positive, praise God for this beautiful day!!! 
negative,grandma is very sick. not doing well. going to the emergency room.
negative,I hate you forever.
negative, i missed it
neutral, I want to write a song.
positive, A blessed sunday everyone!
neutral,a fly just landed in my green chile stew
negative, everythings wrong.
negative,friends dying is just horrible.
negative, I dont want my sister to leave me for the whole summer!
negative,  I miss my family and friends.
positive,Just another day in paradise. 
positive,always a nice thing to wake up to
neutral,I am losing my mind cause i wanna see my.TC on TV right now
negative, Another expensive weekend trip to the vet.
negative, feeling hopeless and useless.
neutral,forgot my lunch at home
negative, i miss my brother.. i worry about him.
negative,just got some bad news
positive, My mom is the funniest person ever!  
negative, my camera broke !
positive,Pie seems to have quite a good appetite now.
positive,she is amazing
negative, Today is not a good day.
positive,Im in love and I don't care who knows it
neutral, AWW I GOTA DO HOMEWORK
positive,awesome black coffee... anyone?
neutral, at work and got loads to do before I leave today
negative, baby died last night.
positive,such a nice day
negative,Things are not good in my head.
neutral,try and enjoy ur family. I am here if I need anything
neutral,why is it raining?
neutral,I start school at 11am this week and I have no school on thursday!
negative,I'm giving up on you. I don't care how you mess up your life now.
neutral,I just bought some oreos!! I hope everyone likes oreos..
negative, I'm so depressed
neutral,Sunday is over.
neutral,i forgot to bring my new sharpie pens to school today.
neutral,still in the office..
neutral, what does it means ?
negative,things are so complicated if I spelt that wrong
positive,hope you get better soon 
negative,Jackson Is Upset With Me
neutral, breakfast with family
negative,can't get motivated
negative,Can't log into my computer at work.
neutral, Can't wait for the weekend
negative, Carrie has a bad eye infection
positive,Feeling much better about this one today 
positive,chocolate cake with a delicious strawberry
neutral,credit card bill. ow my wallet.
neutral,I just want to leave
negative,definately just missed my train
negative,dont know whats wrong with me
